Block Name,Point ID,C_0,C_1,C_2,C_Magnitude,Cx,Cy,Cz,Points_0,Points_1,Points_2,Points_Magnitude,UMean_0,UMean_1,UMean_2,UMean_Magnitude,U_0,U_1,U_2,U_Magnitude,cp,k,nut,omega,omegaMean,p,pMean,vorticity_0,vorticity_1,vorticity_2,vorticity_Magnitude,wallShearStress_0,wallShearStress_1,wallShearStress_2,wallShearStress_Magnitude,yPlus
internalMesh,0,-117.221,-0.5,1.00076,117.226,-117.221,-0.5,1.00076,-114.442,-0.5,1,114.447,44.4634,0,0.00277108,44.4634,44.4634,0,0.00277108,44.4634,-0.0409585,0.280602,0.119785,3.26945,3.26945,-40.009,-40.009,0,0.00627791,0,0.00627791,0,0,0,0,0
internalMesh,1,-117.221,-0.5,1.00177,117.226,-117.221,-0.5,1.00177,-114.442,-0.5,1.00152,114.447,44.4634,0,0.00497394,44.4634,44.4634,0,0.00497394,44.4634,-0.0409401,0.280589,0.129648,3.26443,3.26443,-39.9911,-39.9911,0,0.00844362,0,0.00844362,0,0,0,0,0
internalMesh,2,-130,-0.5,1.00076,130.005,-130,-0.5,1.00076,-130,-0.5,1,130.005,44.31,0,0,44.31,44.31,0,0,44.31,-0.0369987,0.29,0.228346,1.27,1.27,-36.141,-36.141,0,0.008945,0,0.008945,0,0,0,0,0
internalMesh,3,-130,-0.5,1.00177,130.005,-130,-0.5,1.00177,-130,-0.5,1.00152,130.005,44.31,0,0,44.31,44.31,0,0,44.31,-0.0369985,0.29,0.228346,1.27,1.27,-36.1408,-36.1408,0,0.013725,0,0.013725,0,0,0,0,0
internalMesh,4,-110.271,-0.5,1.00177,110.277,-110.271,-0.5,1.00177,-110,-0.5,1.00152,110.006,26.1639,0,0.00974783,26.1639,26.1639,0,0.00974783,26.1639,-0.0482305,0.387439,0.016797,48466.7,48466.7,-47.1125,-47.1125,0,2020.23,0,2020.23,0,0,0,0,0
internalMesh,5,-108.322,-0.5,1,108.328,-108.322,-0.5,1,-110,-0.5,1,110.006,0,0,0,0,0,0,0,0,-0.0515801,0.425515,7.9645e-07,170553,170553,-50.3845,-50.3845,0,4586.57,0,4586.57,-5.6487,0,-0.0111148,5.64871,1.46742
internalMesh,6,-106.559,-0.5,1.00177,106.565,-106.559,-0.5,1.00177,-106.644,-0.5,1.00152,106.649,6.80349,0,0.00488063,6.8035,6.80349,0,0.00488063,6.8035,-0.0551671,0.427253,1.24464e-05,96721.6,96721.6,-53.8884,-53.8884,0,3579.82,0,3579.82,0,0,0,0,0
internalMesh,7,-106.559,-0.5,1,106.565,-106.559,-0.5,1,-106.644,-0.5,1,106.649,0,0,0,0,0,0,0,0,-0.0551677,0.328052,6.64917e-07,170543,170543,-53.889,-53.889,0,3945.06,0,3945.06,-4.8582,0,-0.00578135,4.85821,1.35633
internalMesh,8,-102.867,-0.5,1.00177,102.873,-102.867,-0.5,1.00177,-102.951,-0.5,1.00152,102.957,5.6026,0,0.000143962,5.6026,5.6026,0,0.000143962,5.6026,-0.0610991,0.333125,1.07342e-05,96468.3,96468.3,-59.6829,-59.6829,0,3004.02,0,3004.02,0,0,0,0,0
internalMesh,9,-102.867,-0.5,1,102.873,-102.867,-0.5,1,-102.951,-0.5,1,102.957,0,0,0,0,0,0,0,0,-0.0610994,0.213095,5.08547e-07,170532,170532,-59.6831,-59.6831,0,3173.69,0,3173.69,-3.90772,0,-0.000228445,3.90772,1.22025
